filename,width,height,class,xmin,ymin,xmax,ymax,is_tent,target
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,180,417,220,456,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,264,453,306,507,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,313,494,364,563,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,418,500,484,556,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,377,650,427,704,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,414,568,473,622,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,480,606,510,651,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,581,771,616,819,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,452,724,488,768,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,553,672,596,729,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,553,582,593,625,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,643,696,684,753,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,688,696,743,743,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,775,706,817,747,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,816,799,855,856,1,1
Legoane Haiti-2 2010 earthquake w-lat&long from google earth 1-24-2010.png,2358,1350,tent,853,806,913,861,1,1
